method,eps,cumsum_opers,log_errs
aesplocgd,1e-6,18090,-6.171478370193973
aesplocgd,1e-6,25374,-6.2407011649365876
aesplocgd,1e-6,37054,-6.526909554454501
aesplocgd,1e-6,49351,-6.637998267637314
aesplocgd,1e-6,66776,-6.637998267637314
aesplocgd,1e-6,90759,-6.637998267637314
aesplocgd,1e-6,124819,-6.637998267637314
aesplocgd,1e-6,166108,-6.637998267637314
aesplocgd,1e-6,218223,-6.637998267637314
aesplocgd,1e-6,292440,-6.9300308937738775
aesplocgd,1e-6,374874,-6.994307901448971
aesplocgd,1e-6,479089,-6.994307901448971
aesplocgd,1e-6,611193,-6.994307901448971
locgd,1e-6,1,-1.2950033898639888
locgd,1e-6,3,-1.4912931698463163
locgd,1e-6,90,-2.2689623953499307
locgd,1e-6,1234,-2.572806255590254
locgd,1e-6,20152,-3.1567714973697734
locgd,1e-6,48467,-3.651567705273106
locgd,1e-6,83036,-4.142264999162362
locgd,1e-6,124563,-4.728804926391589
locgd,1e-6,164859,-5.152140768225553
locgd,1e-6,206596,-5.804851059498128
locgd,1e-6,242291,-6.164349347030866
locgd,1e-6,273329,-6.879693354161913
locgd,1e-6,297899,-6.994307901448971
locgd,1e-6,316150,-6.994307901448971
locgd,1e-6,332229,-6.994307901448971
locgd,1e-6,341867,-6.994307901448971
locgd,1e-6,349684,-6.994307901448971
locgd,1e-6,354918,-6.994307901448971
locgd,1e-6,358376,-6.994307901448971
locgd,1e-6,361040,-6.994307901448971
locgd,1e-6,362182,-6.994307901448971
locgd,1e-6,363037,-6.994307901448971
locgd,1e-6,363993,-6.994307901448971
locgd,1e-6,364314,-6.994307901448971
locgd,1e-6,364431,-6.994307901448971
locgd,1e-6,364473,-6.994307901448971
locgd,1e-6,364489,-6.994307901448971
locgd,1e-6,364490,-6.994307901448971
appr,1e-6,1,-1.2950033898639888
appr,1e-6,4,-1.4912931698463163
appr,1e-6,93,-1.7143463148664646
appr,1e-6,1324,-1.7143463148664646
appr,1e-6,6121,-2.0026866763982194
appr,1e-6,12691,-2.0026866763982194
appr,1e-6,27621,-2.3140061412352653
appr,1e-6,47432,-2.633863339985606
appr,1e-6,72402,-2.956916630399619
appr,1e-6,104959,-3.281133579737836
appr,1e-6,142435,-3.6057350584335537
appr,1e-6,184272,-3.9304236194606275
appr,1e-6,227870,-4.255087516336967
appr,1e-6,271417,-4.5796862405149374
appr,1e-6,314576,-4.904206143619287
appr,1e-6,354302,-5.2286432031329175
appr,1e-6,398862,-5.552996287396121
appr,1e-6,435701,-5.877264633477542
appr,1e-6,470341,-6.201446794661714
appr,1e-6,500942,-6.5255398169236445
appr,1e-6,526760,-6.843413564604153
appr,1e-6,549000,-6.991994903493311
appr,1e-6,568954,-6.991994903493311
appr,1e-6,584842,-6.991994903493311
appr,1e-6,597292,-6.991994903493311
appr,1e-6,607547,-6.991994903493311
appr,1e-6,615599,-6.991994903493311
appr,1e-6,621266,-6.991994903493311
appr,1e-6,625098,-6.991994903493311
appr,1e-6,627572,-6.991994903493311
appr,1e-6,629255,-6.991994903493311
appr,1e-6,630198,-6.991994903493311
appr,1e-6,631055,-6.991994903493311
appr,1e-6,631518,-6.991994903493311
appr,1e-6,631884,-6.991994903493311
appr,1e-6,632172,-6.991994903493311
appr,1e-6,632422,-6.991994903493311
appr,1e-6,632502,-6.991994903493311
appr,1e-6,632581,-6.991994903493311
appr,1e-6,632682,-6.991994903493311
appr,1e-6,632743,-6.991994903493311
appr,1e-6,632892,-6.991994903493311
appr,1e-6,632988,-6.991994903493311
appr,1e-6,633037,-6.991994903493311
appr,1e-6,633080,-6.991994903493311
appr,1e-6,633118,-6.991994903493311
appr,1e-6,633157,-6.991994903493311
appr,1e-6,633185,-6.991994903493311
appr,1e-6,633212,-6.991994903493311
appr,1e-6,633240,-6.991994903493311
appr,1e-6,633243,-6.991994903493311
appr,1e-6,633246,-6.991994903493311
appr,1e-6,633247,-6.991994903493311
appr,1e-6,633250,-6.991994903493311
appr,1e-6,633251,-6.991994903493311
appr,1e-6,633253,-6.991994903493311
appr,1e-6,633254,-6.991994903493311
appropt,1e-6,1,-1.2950033898639888
appropt,1e-6,3,-1.4912931698463163
appropt,1e-6,90,-2.2689623953499307
appropt,1e-6,1234,-2.572806255590254
appropt,1e-6,61114,-3.1567714973697734
appropt,1e-6,180304,-3.651567705273107
appropt,1e-6,373412,-4.545385582049164
appropt,1e-6,573866,-5.622503989176404
appropt,1e-6,781951,-6.698239732136307
appropt,1e-6,967166,-7.553970771416466
appropt,1e-6,1105611,-7.658129077115003
appropt,1e-6,1222372,-7.658129077115003
appropt,1e-6,1291507,-7.7339058666236005
appropt,1e-6,1340618,-7.7339058666236005
appropt,1e-6,1370775,-7.7339058666236005
appropt,1e-6,1388043,-7.7339058666236005
appropt,1e-6,1397562,-7.7339058666236005
appropt,1e-6,1406478,-7.7339058666236005
appropt,1e-6,1409034,-7.7339058666236005
appropt,1e-6,1410895,-7.7339058666236005
appropt,1e-6,1411739,-7.7339058666236005
appropt,1e-6,1412036,-7.7339058666236005
appropt,1e-6,1412172,-7.7339058666236005
appropt,1e-6,1412188,-7.7339058666236005
aespappr,1e-7,1,-1.4912931698463163
aespappr,1e-7,2,-1.4912931698463163
aespappr,1e-7,5,-1.7507649289185856
aespappr,1e-7,7,-2.157378786034406
aespappr,1e-7,8,-2.2689623953499307
aespappr,1e-7,11,-2.2689623953499307
aespappr,1e-7,14,-2.2689623953499307
aespappr,1e-7,15,-2.2689623953499307
aespappr,1e-7,18,-2.2689623953499307
aespappr,1e-7,21,-2.2689623953499307
aespappr,1e-7,24,-2.2689623953499307
aespappr,1e-7,27,-2.2689623953499307
aespappr,1e-7,116,-2.7062310199341058
aespappr,1e-7,119,-3.026761391226805
aespappr,1e-7,121,-3.2361612876573687
aespappr,1e-7,130,-3.359990158033834
aespappr,1e-7,225,-3.746632995114336
aespappr,1e-7,311,-4.015840539195172
aespappr,1e-7,377,-4.183624346732304
aespappr,1e-7,637,-4.5214866749502285
aespappr,1e-7,865,-4.745848143568863
aespappr,1e-7,1211,-4.880250386178106
aespappr,1e-7,1708,-5.196944236166525
aespappr,1e-7,2037,-5.403096886043946
aespappr,1e-7,2924,-5.739469186996921
aespappr,1e-7,3795,-6.14338865566872
aespappr,1e-7,5013,-6.146178585904681
aespappr,1e-7,6767,-6.146178585904681
aespappr,1e-7,9383,-6.171478370193973
aespappr,1e-7,12844,-6.171478370193973
aespappr,1e-7,17631,-6.171478370193973
aespappr,1e-7,25152,-6.2407011649365876
aespappr,1e-7,36686,-6.528233178201944
aespappr,1e-7,48356,-6.637998267637314
