method,node,alpha,eps,runtime,Opertion
aesplocgd,969,0.001,1e-08,128.12736385222524,584816675
locgd,788,0.001,1e-08,425.85573314130306,4425408414
aespappr,797,0.003981071705534978,1e-08,61.69370076432824,259240558
locgd,804,0.06309573444801933,1e-08,3.586635055951774,21160925
aesplocgd,407,0.003981071705534978,1e-08,43.12074944935739,298237065
appr,27,0.003981071705534978,1e-08,292.4980457397178,1623623272
appr,28,0.039810717055349734,1e-08,45.409914639778435,135323051
aespappr,198,0.01,1e-08,36.808321920223534,137598037
locgd,391,0.1,1e-08,3.1051838705316186,15981683
locgd,471,0.003981071705534978,1e-08,162.67366660013795,1093284260
appr,68,0.01584893192461114,1e-08,52.6362864645198,384452796
appr,800,0.039810717055349734,1e-08,31.654182116501033,142018346
locgd,788,0.006309573444801936,1e-08,150.72783668059856,683795028
aespappr,571,0.003981071705534978,1e-08,47.17928949929774,241153233
appr,922,0.1,1e-08,2.60706645809114,26478086
aesplocgd,28,0.006309573444801936,1e-08,37.051899284124374,222943995
aesplocgd,522,0.01584893192461114,1e-08,22.821247487328947,114593866
appr,785,0.003981071705534978,1e-08,404.31315379496664,1615283153
appr,216,0.01584893192461114,1e-08,57.85084677860141,378763546
aespappr,609,0.001,1e-08,135.31596679147333,574948650
aespappr,609,0.001584893192461114,1e-08,74.88712451048195,449728722
appr,571,0.001,1e-08,1788.372997037135,6491050672
locgd,934,0.01584893192461114,1e-08,52.43429088871926,239717695
aespappr,797,0.1,1e-08,2.8742681061849,10852073
appr,407,0.039810717055349734,1e-08,26.662451717071235,135067073
aespappr,198,0.006309573444801936,1e-08,47.105453012511134,192110094
aesplocgd,627,0.01,1e-08,20.534463874064386,170478759
aesplocgd,609,0.1,1e-08,4.6115079605951905,22014636
appr,804,0.06309573444801933,1e-08,6.448308424092829,33428081
appr,384,0.002511886431509582,1e-08,530.497078246437,2568880393
aesplocgd,541,0.01,1e-08,19.64725118689239,154085359
aespappr,68,0.1,1e-08,1.3977323863655329,11378672
aesplocgd,407,0.001,1e-08,75.93700466863811,584932846
locgd,661,0.01584893192461114,1e-08,52.599026392214,264522562
aesplocgd,800,0.002511886431509582,1e-08,34.32381904590875,367291044
aesplocgd,233,0.1,1e-08,3.1216210974380374,17967487
locgd,193,0.06309573444801933,1e-08,6.347819093614817,40834630
aespappr,471,0.001,1e-08,123.04407254140824,569371586
aespappr,489,0.006309573444801936,1e-08,51.68624813016504,181625659
aesplocgd,362,0.001584893192461114,1e-08,13.357783873565495,460900794
aespappr,785,0.1,1e-08,2.042709354311228,11023753
appr,101,0.001584893192461114,1e-08,767.5829240772873,4103215832
appr,797,0.039810717055349734,1e-08,20.684177071787417,119626311
aesplocgd,583,0.001,1e-08,131.7571851266548,584829049
aespappr,996,0.025118864315095808,1e-08,11.230836554430425,66011690
locgd,922,0.01,1e-08,69.72243605088443,424886387
appr,541,0.01,1e-08,100.53701123967767,620740430
aespappr,800,0.039810717055349734,1e-08,12.723291181959212,55075325
appr,857,0.1,1e-08,3.0138253392651677,23715937
aespappr,233,0.003981071705534978,1e-08,39.15947596170008,261049525
aesplocgd,627,0.1,1e-08,6.933594128116965,30701881
aespappr,384,0.001,1e-08,216.56652218755335,563621433
aespappr,44,0.001584893192461114,1e-08,88.49719111807644,442417992
locgd,27,0.002511886431509582,1e-08,215.62570149451494,1746106136
aespappr,654,0.039810717055349734,1e-08,12.150530219078064,57910750
appr,84,0.06309573444801933,1e-08,7.467564705759287,52130673
aesplocgd,471,0.001584893192461114,1e-08,8.4090995201841,460888708
aesplocgd,962,0.01584893192461114,1e-08,20.398233838379383,121070945
aespappr,44,0.06309573444801933,1e-08,6.8648677710443735,19544858
locgd,522,0.002511886431509582,1e-08,386.46170698292553,1739979592
aespappr,627,0.06309573444801933,1e-08,8.133916950784624,39293643
locgd,800,0.003981071705534978,1e-08,194.51082172896713,1097783311
aespappr,384,0.01,1e-08,32.349432388320565,133310222
aespappr,410,0.025118864315095808,1e-08,17.21656182873994,59114955
locgd,44,0.001,1e-08,504.0465969434008,4416465209
appr,797,0.006309573444801936,1e-08,208.67247979156673,1006301158
aespappr,943,0.01,1e-08,35.983775552362204,144200726
aesplocgd,0,0.001,1e-08,133.97408135514706,584008611
locgd,28,0.006309573444801936,1e-08,112.47917951643467,682833903
aespappr,100,0.025118864315095808,1e-08,14.1735596684739,74474552
appr,233,0.01584893192461114,1e-08,76.65849592071027,387043038
